,City Name,Latitude,Longitude,Temperature,Humidity,Clouds,Wind
480,Fort Saint James,54.43,-124.25,35.05,96,92,7.63
481,Aguimes,27.91,-15.45,60.8,72,20,25.28
482,Ahipara,-35.17,173.16,74.87,69,0,11.99
483,Hualmay,-11.1,-77.61,66.5,85,12,3.15
484,Bandon,51.75,-8.74,50,100,75,11.41
485,Ritchie,-29.03,24.6,53.6,71,0,8.05
486,Daniel Flores,9.34,-83.67,58.22,87,8,0.69
487,Cockburn Town,21.46,-71.14,74.29,100,100,17.69
488,Urucara,-2.54,-57.76,76.54,89,8,3.71
489,Karlstadt,49.96,9.77,37.49,93,75,5.82
490,Tonstad,58.66,6.71,35.6,64,90,6.93
491,Xichang,27.88,102.25,45.85,97,92,2.04
492,Sao Gabriel da Cachoeira,-0.13,-67.09,77.3,92,8,2.15
493,Manavalakurichi,8.13,77.3,84.2,74,20,3.36
494,Nago,45.88,10.89,48.2,70,0,4.7
495,Tigil,57.8,158.67,28.25,96,24,4.16
496,Manzanillo,20.34,-77.12,76.18,100,0,27.09
497,Laiwu,36.19,117.66,69.38,65,0,14.67
498,Flin Flon,54.77,-101.88,30.28,72,12,10.98
499,Maceio,-9.67,-35.74,75.2,94,20,2.24
